time	data	error	fit	res
80.5306368000	0.0124449277	0.0058034493	0.0000003826	2.1443359611
87.2415232000	0.0121525756	0.0057681321	0.0000003393	2.1067888253
93.9524096000	0.0120188377	0.0057692797	0.0000003036	2.0831948987
100.6632960000	0.0121508211	0.0057610621	0.0000002737	2.1090811124
107.3741824000	0.0120437661	0.0057331716	0.0000002485	2.1006728123
114.0850688000	0.0119166862	0.0056613678	0.0000002269	2.1048728341
120.7959552000	0.0119902299	0.0055998039	0.0000002082	2.1411502597
127.5068416000	0.0119601600	0.0055601690	0.0000001920	2.1510080034
134.2177280000	0.0118298577	0.0057026921	0.0000001778	2.0744027086
147.6395008000	0.0118353742	0.0055488112	0.0000001541	2.1329289651
161.0612736000	0.0116250226	0.0055054980	0.0000001353	2.1115051414
174.4830464000	0.0116179859	0.0054918688	0.0000001200	2.1154667662
187.9048192000	0.0115489684	0.0054566687	0.0000001073	2.1164673327
201.3265920000	0.0113652941	0.0053920786	0.0000000968	2.1077581076
214.7483648000	0.0112831696	0.0053487030	0.0000000879	2.1094986411
228.1701376000	0.0112344432	0.0053519067	0.0000000802	2.0991327911
241.5919104000	0.0111606512	0.0053318074	0.0000000736	2.0932071874
255.0136832000	0.0110377635	0.0051742295	0.0000000679	2.1332056682
268.4354560000	0.0109665272	0.0052120874	0.0000000629	2.1040446097
295.2790016000	0.0107280041	0.0050082009	0.0000000545	2.1420765275
322.1225472000	0.0105367923	0.0048479318	0.0000000478	2.1734514804
348.9660928000	0.0104115107	0.0048055840	0.0000000424	2.1665354944
375.8096384000	0.0102109051	0.0046823958	0.0000000380	2.1806928641
402.6531840000	0.0099788269	0.0045554424	0.0000000342	2.1905211028
429.4967296000	0.0097056995	0.0044556685	0.0000000311	2.1782743489
456.3402752000	0.0095474356	0.0044258299	0.0000000284	2.1572015698
483.1838208000	0.0092997238	0.0042330467	0.0000000260	2.1969277330
510.0273664000	0.0090622033	0.0041345951	0.0000000240	2.1917936591
536.8709120000	0.0088764073	0.0039915108	0.0000000222	2.2238158438
590.5580032000	0.0085448080	0.0037384044	0.0000000193	2.2856780282
644.2450944000	0.0079608089	0.0034917098	0.0000000169	2.2799122259
697.9321856000	0.0074369239	0.0032273591	0.0000000150	2.3043326216
751.6192768000	0.0071917064	0.0029266239	0.0000000134	2.4573342000
805.3063680000	0.0068536969	0.0027349015	0.0000000121	2.5060079390
858.9934592000	0.0064208739	0.0024311342	0.0000000110	2.6410976714
912.6805504000	0.0061052237	0.0023160732	0.0000000100	2.6360193627
966.3676416000	0.0052750917	0.0019060721	0.0000000092	2.7675145886
1020.0547328000	0.0046706667	0.0016568413	0.0000000085	2.8190136272
1073.7418240000	0.0045995390	0.0015064097	0.0000000079	3.0533068917
